submission_id,SubjectId,responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration
119,6541c19ed9da06afaaf2c95b,14002,1,1,2,52,995,262, çuditshme. ,243.265625,913.015625,263.265625,1005.0625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14052,1,1,2,53,1007,262, Në ,243.265625,1005.0625,263.265625,1033.078125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14101,1,1,2,53,1013,262, Në ,243.265625,1005.0625,263.265625,1033.078125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14152,1,1,2,53,1020,262, Në ,243.265625,1005.0625,263.265625,1033.078125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14202,1,1,2,53,1026,262, Në ,243.265625,1005.0625,263.265625,1033.078125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14252,1,1,2,54,1033,262, fund ,243.265625,1033.078125,263.265625,1073.125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14302,1,1,2,54,1039,262, fund ,243.265625,1033.078125,263.265625,1073.125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14352,1,1,2,54,1046,262, fund ,243.265625,1033.078125,263.265625,1073.125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14402,1,1,2,54,1054,262, fund ,243.265625,1033.078125,263.265625,1073.125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14451,1,1,2,54,1065,262, fund ,243.265625,1033.078125,263.265625,1073.125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14502,1,1,2,55,1081,262, të ,243.265625,1073.125,263.265625,1093.140625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14552,1,1,2,56,1093,262," fundit, ",243.265625,1093.140625,263.265625,1147.1875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14602,1,1,2,56,1102,262," fundit, ",243.265625,1093.140625,263.265625,1147.1875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14652,1,1,2,56,1115,262," fundit, ",243.265625,1093.140625,263.265625,1147.1875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14702,1,1,2,56,1130,262," fundit, ",243.265625,1093.140625,263.265625,1147.1875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14752,1,1,2,57,1147,262, s'mund ,243.265625,1147.1875,263.265625,1209.65625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14801,1,1,2,57,1162,262, s'mund ,243.265625,1147.1875,263.265625,1209.65625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14851,1,1,2,57,1177,262, s'mund ,243.265625,1147.1875,263.265625,1209.65625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14901,1,1,2,57,1190,261, s'mund ,243.265625,1147.1875,263.265625,1209.65625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,14951,1,1,2,57,1197,261, s'mund ,243.265625,1147.1875,263.265625,1209.65625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15001,1,1,2,57,1206,260, s'mund ,243.265625,1147.1875,263.265625,1209.65625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15051,1,1,2,58,1218,259, të ,243.265625,1209.65625,263.265625,1229.671875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15101,1,1,2,58,1226,259, të ,243.265625,1209.65625,263.265625,1229.671875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15150,1,1,2,59,1232,259, të ,243.265625,1229.671875,263.265625,1249.6875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15200,1,1,2,59,1244,259, të ,243.265625,1229.671875,263.265625,1249.6875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15250,1,1,2,60,1252,259, themi ,243.265625,1249.6875,263.265625,1293.703125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15302,1,1,2,60,1255,259, themi ,243.265625,1249.6875,263.265625,1293.703125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15364,1,1,2,60,1255,259, themi ,243.265625,1249.6875,263.265625,1293.703125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15410,1,1,2,60,1255,259, themi ,243.265625,1249.6875,263.265625,1293.703125,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15451,1,1,2,59,1248,264, të ,243.265625,1229.671875,263.265625,1249.6875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15502,1,1,2,-1,1112,296,,,,,,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15552,1,1,2,-1,943,303,,,,,,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15601,1,1,2,-1,840,306,,,,,,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15651,1,1,2,65,788,304, lumja ,283.265625,771.484375,303.265625,819.5,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15701,1,1,2,63,735,297, veçse: ,283.265625,699.4375,303.265625,756.46875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15752,1,1,2,63,704,296, veçse: ,283.265625,699.4375,303.265625,756.46875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15801,1,1,2,62,695,296, tjetër ,283.265625,654.40625,303.265625,699.4375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15852,1,1,2,62,667,296, tjetër ,283.265625,654.40625,303.265625,699.4375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15902,1,1,2,61,634,296, gjë ,283.265625,625.375,303.265625,654.40625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,15951,1,1,2,61,625,296, gjë ,283.265625,625.375,303.265625,654.40625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,16001,1,1,2,61,625,296, gjë ,283.265625,625.375,303.265625,654.40625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,16050,1,1,2,61,625,296, gjë ,283.265625,625.375,303.265625,654.40625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,16100,1,1,2,61,633,295, gjë ,283.265625,625.375,303.265625,654.40625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,16150,1,1,2,61,641,295, gjë ,283.265625,625.375,303.265625,654.40625,Si një muaj mjalti në male.,,,,,
