responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,hand,device,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
18669,1.0,1.0,7.0,26.0,855.0,171.0, Adrian ,151.56666564941406,836.5166625976562,171.56666564941406,893.5666656494141,,,,,,,37,37
18729,1.0,1.0,7.0,26.0,865.0,171.0, Adrian ,151.56666564941406,836.5166625976562,171.56666564941406,893.5666656494141,,,,,,,37,37
18790,1.0,1.0,7.0,26.0,878.0,170.0, Adrian ,151.56666564941406,836.5166625976562,171.56666564941406,893.5666656494141,,,,,,,37,37
18851,1.0,1.0,7.0,26.0,880.0,168.0, Adrian ,151.56666564941406,836.5166625976562,171.56666564941406,893.5666656494141,,,,,,,37,37
18913,1.0,1.0,7.0,26.0,880.0,168.0, Adrian ,151.56666564941406,836.5166625976562,171.56666564941406,893.5666656494141,,,,,,,37,37
18976,1.0,1.0,7.0,26.0,880.0,168.0, Adrian ,151.56666564941406,836.5166625976562,171.56666564941406,893.5666656494141,,,,,,,37,37
19039,1.0,1.0,7.0,26.0,882.0,168.0, Adrian ,151.56666564941406,836.5166625976562,171.56666564941406,893.5666656494141,,,,,,,37,37
19099,1.0,1.0,7.0,27.0,894.0,168.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19160,1.0,1.0,7.0,27.0,905.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19221,1.0,1.0,7.0,27.0,909.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19284,1.0,1.0,7.0,27.0,911.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19345,1.0,1.0,7.0,27.0,914.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19407,1.0,1.0,7.0,27.0,917.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19468,1.0,1.0,7.0,27.0,928.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19529,1.0,1.0,7.0,27.0,935.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19592,1.0,1.0,7.0,27.0,938.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19655,1.0,1.0,7.0,27.0,938.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19717,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19779,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19842,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19904,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
19967,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
